Name,Status,Location,Price,Stars,Ratings,Link
"PC Lenovo x1 Carbon g1 Ultrabook 14"" CPU i5 RAM 4gb No HDD Excellent Condition",Refurbished,From Italy,"5,295.94 CZK",0,0,https://www.ebay.com/itm/PC-LENOVO-X1-CARBON-G1-ULTRABOOK-14-CPU-I5-RAM-4GB-NO-HDD-OTTIME-CONDIZIONI/153844095283?hash=item23d1d29933:g:lt8AAOSwcOBeU-Gb
Lenovo ThinkPad X1 Carbon i5-3337U 1.8GHz 4GB RAM - WITHOUT SSD/HDD (0159),Pre-Owned,From United Kingdom,"5,436.80 CZK",0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-i5-3337U-1-8GHz-4GB-RAM-WITHOUT-SSD-HDD-0159/164053156415?hash=item263254823f:g:lDEAAOSwSABeMGew
Lenovo Thinkpad X1 Carbon 14.0' Laptop i5-6200U 2.30GHz 8GB 256GB SSD Win 10 Pro,Pre-Owned,From United Kingdom,"4,682.99 CZK",Tim,0,https://www.ebay.com/itm/Lenovo-Thinkpad-X1-Carbon-14-0-Laptop-i5-6200U-2-30GHz-8GB-256GB-SSD-Win-10-Pro/254511248504?hash=item3b420d7478:g:DTwAAOSwlHJeRTNf
Refurbished Lenovo ThinkPad X1 Carbon 2.3Ghz i5-6200U Processor 256GB SSD Laptop,Refurbished,From United Kingdom,"16,526.43 CZK",Ref,0,https://www.ebay.com/itm/Refurbished-Lenovo-ThinkPad-X1-Carbon-2-3Ghz-i5-6200U-Processor-256GB-SSD-Laptop/352815528656?epid=2003647951&_trkparms=ispr%3D1&hash=item522571bad0:g:QiIAAOSwZIVdmcdt&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qWU7jQeum6zCCC1LsWXQfApNhA8txhsBmmUUhAhNB5eQfqZWz7JVwpdcfdJHsw1wk5UsDZ9UhvAMaI7ktcnbIQW5tnUeKjCoo0sHX%2FF6F2X1MHUQTopxBhYS9xt3dM2ujEXVfV9yi4O5PkHqbZYdoYp21bBiFVxJ5Jesk5BYTi82i%2BBFL4P6x%2F6wl%2B4rKEanwD7ml2qFO2GddDDpUXd9vMsIISmK9uplsXVDOjHFIpfiytww3Da7Eu6pXN0fEn7z9u2ONeHbs%2FqUIrC2R8v4MPQ2f6dIUhGdELr0dH89Tgv0dyRgauN6DXQEm9pVpiljVKNOFva033JJIlqeBYvw1fiTZW0Gm7TYrmaAqmg8e81Ni4mI6JN5E2tSv8y41dH%2FwxAX17lgK4bn1jWqFF%2BST%2FqvqH3gnXMLtGTk7Z%2F0ACpCG0eR4RlzbTqDd47LD5ywU2CZctpgAUQF%2BEBLtwsHQ6CAd68AVY1Sh5gMgr5MMUZBqBl4Tq%2BeanKn7gncdsPtNnzoQqyG1ZKshl6iaoSgX2lXkRMbdknI55RD6%2BB77hHaUx0KMP2T%2FDhhfFKcYPnbq1JPHE6x14TkWOjAJA%2BFkg6TH7uLooVaI%2BhCB3kbn8JwIt76qMtqBskooQuIojMs6oBuZb3airc7F1rKXmt8MrGL5wEY8g%2BdEhWD58jLC12pJhegluMw3AXCykvfCpqymczaC4rYmVSDMF0jBx6WuDW5jBYCPgKS%2Bu6u2inNrQZDw%3D%3D&checksum=3528155286560fdf6c09e424460a8703411c2d68d0dc
2013' LENOVO THINKPAD X1 CARBON GEN1 i5-3337U 1.8GHz 256SSD 4GB WINDOWS 10 PRO,Refurbished,From United States,"5,570.67 CZK",0,0,https://www.ebay.com/itm/2013-LENOVO-THINKPAD-X1-CARBON-GEN1-i5-3337U-1-8GHz-256SSD-4GB-WINDOWS-10-PRO/174188658813?_trkparms=ispr%3D1&hash=item288e74007d:g:UCEAAOSwLtZducAe&enc=AQAEAAACQBPxNw%2BVj6nta7CKEs3N0qUezC8x9qt5%2FLi6jJh7ZpZ80d9SHcwiGadv3YMjzOD6AC40BfKhZf3P%2BesqlB0Vcld6FDrQNUrSfYhQgkwE2KNz9GU2F6rMaPd2LjWrqxC2Cs48oi3EaYvQ%2BxQTVnUbB5nR3mtzoDdvJPBxqu%2BWePIXmjADfrLaJUJlLWmjBdMQC94HJpzFi9eN5CiHtsBr3erqfyJQftHizEfpTWDa9%2FMPLfzgE0DU9IOWyr7dJiDimfSOxg8t%2BRR5aDVMgcPujUzS4itHq2p7r%2BBfWBj4svkgDqpc9lD7zrhklcyTUs8I%2BTS9T0L4WNUlH6MPm09D5Z5vJNFYjpzLLDFn3Pm4WMhj2Wu4OWTYcHkK3%2FGaXGnwabMAKgTgd%2BfM0A%2BAt7902MMzbqLXg5dvru28O0rwiIHyMuzuo%2B9mVu5YcS2sMX00GZ8bNW67e%2BXRBOK8b7vpwBLWWE3adPbrrPon2XsGbmXaWvz%2BwXr%2F07g7v%2FmbaJnWjv6d7AbqirGwq3OtWjsrY81ZHcLAyPw2Orxrt1azfH9NGbHEEVZM8zHYi9B66v6LbqHTsqoI6p8un2E%2Bsn0Fm2sxYLDJTG3up7k5ogDDaIvELRcrbaB38WMoDqpMEOI3zJjHETGx5dGWofWWMw2jnpw9x7Ihva%2B4ocfl%2B%2B3p%2BWyV4rJR4oiBq3SyccAKU0J5QxiGToS5A4bajs0kquee7kvOOd9BMjJCMvpKv2VitroUMokW8YK9a%2FFdqVZFnEnlbw%3D%3D&checksum=1741886588130fdf6c09e424460a8703411c2d68d0dc
Lenovo ThinkPad  Carbon X1 ,Pre-Owned,From United Kingdom,"4,834.06 CZK",0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-Carbon-X1/293467870906?hash=item44540c56ba:g:qz8AAOSwhe9eQBpt
 Lenovo ThinkPad X1 Carbon 4th Gen i7-6600U 512GB SSD 16GB WQHD IPS BT FPR W10,Refurbished,From United States,"13,671.92 CZK",4.5,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-4th-Gen-i7-6600U-512GB-SSD-16GB-WQHD-IPS-BT-FPR-W10/114121645822?epid=20031092292&hash=item1a922e1efe:g:lI4AAOSwyaNeTKpT
"Lenovo X1 Carbon 6th Gen 14"" 2-in-1 i5 8th Gen 256GB SSD Full HD ",New (Other),From United Kingdom,"23,867.85 CZK",Len,0,https://www.ebay.com/itm/Lenovo-X1-Carbon-6th-Gen-14-2-in-1-i5-8th-Gen-256GB-SSD-Full-HD/293489700723?epid=14024823840&hash=item4455596f73:g:-mYAAOSwXRleUrAl
"Lenovo ThinkPad X1 Carbon 4th Gen i7-6600U@2.60GHz,8GB RAM,256GB SSD WebCam",Pre-Owned,From United States,"9,284.60 CZK",0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-4th-Gen-i7-6600U-2-60GHz-8GB-RAM-256GB-SSD-WebCam/164053186993?hash=item263254f9b1:g:dJoAAOSwqp5eL2hM
Lenovo Thinkpad X1 Carbon 14' Laptop i5-5200U 2.20 GHz 8GB 256GB SSD Win 10 Pro,Pre-Owned,From United Kingdom,"3,837.03 CZK",Tim,0,https://www.ebay.com/itm/Lenovo-Thinkpad-X1-Carbon-14-Laptop-i5-5200U-2-20-GHz-8GB-256GB-SSD-Win-10-Pro/392684238794?hash=item5b6dcdf7ca:g:TWwAAOSwgFpeRTOi
Lenovo ThinkPad X1 Carbon i7-4600U 3.3GHz Touch WQHD 8GB Ram 256G 512G 1T Win 10,Refurbished,From United States,"8,124.23 CZK",0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-i7-4600U-3-3GHz-Touch-WQHD-8GB-Ram-256G-512G-1T-Win-10/303475939051?hash=item46a89356eb:m:mvhzl05KWcygtxSuoe0kmog
Lenovo ThinkPad X1 Carbon 4.Gen Core i7-6500U 8Gb 256Gb 14`FHD SSD 1920x1080 IPS,Pre-Owned,From Germany,"9,703.43 CZK",0,0,https://www.ebay.com/itm/Lenovo-ThinkPad-X1-Carbon-4-Gen-Core-i7-6500U-8Gb-256Gb-SSD-14-FHD-1920x1080-IPS/153684534797?hash=item23c84fe60d:g:kuYAAOSwg31akABZ
"Lenovo ThinkPad X1 Yoga 1st. Convertible i5-6300U 2,4GHz 8GB 180GB Touch ~",Pre-Owned,From Germany,"3,101.91 CZK",Tim,0,https://www.ebay.com/itm/Lenovo-Thinkpad-X1-Yoga-1st-Convertible-i5-6300U-2-4GHz-8GB-180GB-Touch/313008600895?hash=item48e0c4373f:g:wboAAOSwsjVeHab-
